1771943576961: GET: /api/users/
31771943625295: GET: /api/users/1001 
1771943687945: POST: /api/users 
1771943724409: PATCH: /api/users/1001 
1771943816335: PATCH: ::1: /api/users/1001 
1771943832669: GET: ::1: /api/users/1001 
1771944365221: GET: ::1: /api/users 
1771944556292: GET: ::1: /api/users 
1771944605064: GET: ::1: /api/users 
1771944669033: GET: ::1: /api/users 
1771944830136: GET: ::1: /api/users 
1771953076759: GET: ::1: /api/users/1001 
1771953093538: GET: ::1: /api/users/4000 
1771953103386: GET: ::1: /api/users/40 
1771953182925: GET: ::1: /api/users/40 
1771953186955: GET: ::1: /api/users/40000 
1772203131579: GET: ::1: / 
1772203145367: GET: ::1: /api/users 
1772203163640: GET: ::1: /api/users/1 
1772203163796: GET: ::1: /favicon.ico 
1772203169759: GET: ::1: /api/users 
1772203178417: GET: ::1: /users 
1772203213284: GET: ::1: /.well-known/appspecific/com.chrome.devtools.json 
1772203217674: GET: ::1: /users 
1772203217761: GET: ::1: /.well-known/appspecific/com.chrome.devtools.json 
1772203259835: GET: ::1: /api/users 
1772203371056: GET: ::1: /api/users/2 
1772203426808: GET: ::1: /api/users/400 
1772212614994: GET: ::1: / 
1772212630988: GET: ::1: /text/html 
1772212715831: GET: ::1: / 
1772212739142: GET: ::1: / 
1772212828749: GET: ::1: / 
1772212839983: GET: ::1: /text/html 
1772212846800: GET: ::1: /html 
1772212866788: GET: ::1: / 
1772212961932: GET: ::1: / 
1772213043725: GET: ::1: / 
1772213053001: GET: ::1: / 
1772213060238: GET: ::1: /users 
1772213064981: GET: ::1: / 
1772213200604: GET: ::1: / 
1772213223553: GET: ::1: / 
1772213281348: GET: ::1: / 
